"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"6444","LENO_038",31.82037,-88.181662,12.5,"deciduousForest"
"6465","LENO_039",31.813052,-88.188829,14.9,"woodyWetlands"
"6486","LENO_040",31.815274,-88.191091,10.2,"woodyWetlands"
"6507","LENO_041",31.810405,-88.186612,10.5,"deciduousForest"
"6528","MOAB_034",38.277972,-109.350332,2001.8,"evergreenForest"
"6543","MOAB_035",38.267542,-109.414292,1801.5,"shrubScrub"
"6561","MOAB_036",38.25792,-109.38162,1812,"shrubScrub"
"6579","MOAB_037",38.230243,-109.39148,1759.2,"shrubScrub"
"6597","MOAB_038",38.263925,-109.426013,1813.3,"shrubScrub"
"6615","MOAB_039",38.249006,-109.400993,1789.9,"shrubScrub"
"6633","MOAB_040",38.262994,-109.41782,1813,"shrubScrub"
"6651","MOAB_041",38.241426,-109.380289,1814.9,"shrubScrub"
"6669","MOAB_042",38.23527,-109.400608,1763,"shrubScrub"
"6687","MOAB_043",38.221342,-109.39442,1722,"shrubScrub"
"6705","NOGP_031",46.763587,-100.911958,580,"grasslandHerbaceous"
"6722","NOGP_032",46.802894,-100.911377,546.4,"grasslandHerbaceous"
"6739","NOGP_033",46.768074,-100.911597,584.5,"grasslandHerbaceous"
"6754","NOGP_034",46.805983,-100.920072,522.4,"grasslandHerbaceous"
"6772","NOGP_035",46.767966,-100.917982,589.3,"grasslandHerbaceous"
"6787","NOGP_036",46.7906,-100.920372,569.1,"grasslandHerbaceous"
"6805","NOGP_037",46.794838,-100.909081,532.9,"grasslandHerbaceous"
"6822","NOGP_038",46.763463,-100.921373,589.9,"grasslandHerbaceous"
"6839","NOGP_039",46.806532,-100.904038,527,"grasslandHerbaceous"
"6855","NOGP_040",46.791529,-100.913326,549.9,"grasslandHerbaceous"
"6872","OAES_032",35.413237,-99.064195,509.3,"grasslandHerbaceous"
"6901","OAES_033",35.400494,-99.08136,509.2,"grasslandHerbaceous"
"6930","OAES_034",35.412147,-99.072118,510.4,"grasslandHerbaceous"
"6958","OAES_035",35.410503,-99.068474,509.4,"grasslandHerbaceous"
"6986","OAES_036",35.409496,-99.077404,501.9,"grasslandHerbaceous"
"7015","OAES_037",35.408883,-99.065832,502.1,"shrubScrub"
"7041","OAES_038",35.395369,-99.057236,500.8,"grasslandHerbaceous"
"7070","OAES_039",35.396179,-99.073429,488.1,"shrubScrub"
"7099","OAES_041",35.408089,-99.061869,514.4,"shrubScrub"
"7128","OAES_075",35.407538,-99.058579,521.3,"grasslandHerbaceous"
"7157","ONAQ_001",40.205284,-112.459185,1676.6,"shrubScrub"
"7193","ONAQ_013",40.210556,-112.468815,1716.7,"shrubScrub"
"7229","ONAQ_033",40.213529,-112.466764,1703.4,"shrubScrub"
"7265","ONAQ_034",40.182049,-112.521017,1941.7,"evergreenForest"
"7301","ONAQ_035",40.215377,-112.430805,1607.7,"shrubScrub"
"7337","ONAQ_036",40.204626,-112.425634,1597.8,"shrubScrub"
"7373","ONAQ_037",40.205787,-112.464089,1695,"shrubScrub"
"7409","ONAQ_038",40.190475,-112.504302,1820.6,"evergreenForest"
"7445","ONAQ_039",40.191608,-112.514184,1905.2,"evergreenForest"
"7481","ONAQ_040",40.18382,-112.510837,1839.2,"evergreenForest"
"7517","ONAQ_074",40.175954,-112.514905,1851.9,"evergreenForest"
"7565","ONAQ_075",40.196205,-112.472712,1718.1,"shrubScrub"
"7614","ONAQ_076",40.155008,-112.461642,1645.4,"shrubScrub"
"7661","ONAQ_077",40.182772,-112.488274,1766.1,"shrubScrub"
"7710","ONAQ_078",40.196765,-112.428312,1612.1,"shrubScrub"
"7759","ONAQ_079",40.18051,-112.474485,1716.6,"shrubScrub"
"7808","ONAQ_080",40.19575,-112.422302,1599.2,"shrubScrub"
"7864","ONAQ_081",40.166605,-112.505883,1756.3,"shrubScrub"
"7916","ONAQ_082",40.187554,-112.495417,1796.6,"evergreenForest"
"7967","ONAQ_083",40.18382,-112.470314,1706.4,"shrubScrub"
"8023","ORNL_005",35.951294,-84.403739,308.8,"deciduousForest"
"8118","ORNL_011",35.923786,-84.431614,230.4,"deciduousForest"
"8213","ORNL_013",35.919546,-84.3137,255,"deciduousForest"
"8306","ORNL_022",35.952621,-84.393736,281.6,"deciduousForest"
"8401","ORNL_023",35.929456,-84.33397,339.3,"deciduousForest"
"8495","ORNL_024",35.949784,-84.410099,291.1,"deciduousForest"
"8590","ORNL_025",35.949702,-84.393135,259.8,"deciduousForest"
"8685","ORNL_026",35.937899,-84.337343,249.4,"deciduousForest"
"8781","ORNL_028",35.972542,-84.3495,242.6,"evergreenForest"
"8876","ORNL_030",35.950582,-84.216519,252.3,"pastureHay"
"8971","OSBS_052",29.678667,-81.955031,44.1,"evergreenForest"
"9068","OSBS_053",29.678605,-81.962459,48.1,"evergreenForest"
"9167","OSBS_054",29.68552,-81.939573,33.3,"evergreenForest"
"9263","OSBS_055",29.703835,-81.954643,32,"evergreenForest"
"9362","OSBS_056",29.707942,-81.985398,31.7,"deciduousForest"
"9461","OSBS_057",29.725194,-81.987658,35.3,"deciduousForest"
"9556","OSBS_058",29.700742,-82.009505,35.9,"woodyWetlands"
"9655","OSBS_059",29.686937,-81.962158,24.5,"emergentHerbaceousWetlands"
"9751","OSBS_060",29.68469,-82.017693,34.4,"woodyWetlands"
"9850","OSBS_061",29.685885,-81.958591,24.1,"emergentHerbaceousWetlands"
"9946","SCBI_009",38.889591,-78.145375,302.2,"deciduousForest"
"10084","SCBI_020",38.866198,-78.161898,375,"deciduousForest"
"10222","SCBI_025",38.896061,-78.165846,343,"pastureHay"
"10356","SCBI_027",38.895418,-78.151009,277.8,"pastureHay"
"10517","SCBI_028",38.888339,-78.129928,469.3,"deciduousForest"
"10643","SCBI_029",38.891595,-78.14944,323.4,"deciduousForest"
"10772","SCBI_030",38.900921,-78.155294,322.7,"deciduousForest"
"10933","SCBI_031",38.888073,-78.13784,342.7,"deciduousForest"
"11072","SCBI_032",38.881731,-78.133808,366.3,"deciduousForest"
"11233","SCBI_068",38.890976,-78.166035,296.6,"pastureHay"
"11260","SERC_033",38.872876,-76.537124,5.3,"cultivatedCrops"
"11308","SERC_034",38.859398,-76.559387,17.2,"cultivatedCrops"
"11309","SERC_035",38.881255,-76.566318,7.4,"deciduousForest"
"11310","SERC_036",38.875234,-76.542491,5.8,"deciduousForest"
"11357","SERC_037",38.894217,-76.565648,11.8,"deciduousForest"
"11358","SERC_038",38.889125,-76.55032,14.5,"deciduousForest"
"11382","SERC_039",38.899762,-76.555149,30.3,"deciduousForest"
"11403","SERC_040",38.88788,-76.564206,5.2,"deciduousForest"
"11451","SERC_041",38.902578,-76.536653,8.9,"deciduousForest"
"11496","SERC_042",38.886782,-76.555264,12.2,"deciduousForest"
"11544","SERC_064",38.896396,-76.552959,31.7,"deciduousForest"
"11562","SERC_065",38.868356,-76.546054,27.6,"deciduousForest"
"11607","SERC_066",38.873772,-76.532584,8.5,"cultivatedCrops"
"11652","SERC_069",38.897843,-76.547916,23.4,"deciduousForest"
"11676","SERC_070",38.887714,-76.544644,10,"deciduousForest"
"11699","SERC_071",38.87085,-76.541404,10.9,"deciduousForest"
